County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides
"Dent County, MO",171320.0,,10.0,20.0,32.0
"Denton County, TX",8627083.0,107.0,154.0,538.0,916.0
"Denver County, CO",7427215.0,345.0,498.0,517.0,1333.0
"Des Moines County, IA",437593.0,16.0,24.0,43.0,82.0
"Deschutes County, OR",1951597.0,22.0,38.0,226.0,402.0
"Desha County, AR",132673.0,12.0,19.0,12.0,17.0
"Dickson County, TN",569249.0,21.0,32.0,79.0,123.0
"Dillingham Census Area, AK",54486.0,,10.0,14.0,20.0
"Dillon County, SC",341825.0,66.0,79.0,30.0,35.0
"Dinwiddie County, VA",309641.0,15.0,20.0,34.0,52.0
"District of Columbia, DC",7325774.0,1038.0,1344.0,104.0,462.0
"Dixie County, FL",180640.0,12.0,21.0,26.0,39.0
"Dodge County, GA",231153.0,14.0,19.0,20.0,32.0
"Dona Ana County, NM",2365472.0,58.0,105.0,228.0,398.0
"Dooly County, GA",154120.0,10.0,11.0,12.0,17.0
"Dorchester County, MD",355631.0,15.0,23.0,33.0,49.0
"Dorchester County, SC",1665709.0,87.0,109.0,141.0,255.0
"Dougherty County, GA",1005757.0,102.0,137.0,74.0,102.0
"Douglas County, CO",3537446.0,27.0,41.0,294.0,564.0
"Douglas County, GA",1541385.0,53.0,76.0,113.0,192.0
"Douglas County, KS",1291319.0,13.0,26.0,85.0,180.0
"Douglas County, NE",6032954.0,315.0,408.0,317.0,691.0
"Douglas County, NV",526032.0,11.0,15.0,76.0,125.0
"Douglas County, OR",1194407.0,39.0,63.0,198.0,331.0
"Douglas County, WA",449729.0,,13.0,32.0,54.0
"Douglas County, WI",480088.0,,10.0,39.0,81.0
"Drew County, AR",203626.0,16.0,22.0,19.0,30.0
"DuPage County, IL",10195190.0,110.0,166.0,311.0,998.0
"Dubuque County, IA",1058389.0,,14.0,47.0,133.0
"Dunklin County, MO",337790.0,18.0,25.0,44.0,70.0
"Duplin County, NC",651604.0,17.0,28.0,35.0,67.0
"Durham County, NC",3287550.0,298.0,366.0,129.0,289.0
"Dutchess County, NY",3253328.0,37.0,76.0,143.0,388.0
"Duval County, FL",10049990.0,1046.0,1301.0,922.0,1620.0
"Duval County, TX",125857.0,,10.0,17.0,25.0
"Dyer County, TN",415166.0,12.0,19.0,40.0,69.0
"Eagle County, CO",588721.0,,10.0,47.0,93.0
"Early County, GA",115097.0,,10.0,13.0,16.0
"East Baton Rouge Parish, LA",4878206.0,870.0,988.0,345.0,530.0
"East Feliciana Parish, LA",216046.0,24.0,31.0,16.0,22.0
"Eaton County, MI",1197980.0,15.0,25.0,103.0,187.0
"Eau Claire County, WI",1125475.0,,12.0,96.0,179.0
"Ector County, TX",1694881.0,72.0,110.0,128.0,239.0
"Eddy County, NM",621240.0,47.0,57.0,105.0,160.0
"Edgecombe County, NC",593575.0,69.0,80.0,42.0,63.0
"Edgefield County, SC",293988.0,15.0,20.0,28.0,42.0
"Effingham County, GA",636128.0,17.0,26.0,62.0,96.0
"Effingham County, IL",376672.0,,17.0,19.0,43.0
"El Dorado County, CA",2042891.0,32.0,53.0,186.0,379.0
"El Paso County, CO",7447309.0,309.0,441.0,943.0,1809.0
"El Paso County, TX",9145243.0,152.0,279.0,449.0,858.0
"Elbert County, GA",214038.0,10.0,14.0,22.0,31.0
"Elkhart County, IN",2229002.0,75.0,96.0,118.0,241.0
"Elko County, NV",569671.0,20.0,27.0,121.0,153.0
"Ellis County, TX",1833398.0,54.0,72.0,140.0,227.0
"Elmore County, AL",892171.0,51.0,71.0,117.0,161.0
"Emanuel County, GA",249323.0,19.0,25.0,25.0,31.0
"Emporia city, VA",60395.0,11.0,15.0,,
"Erie County, NY",10123669.0,454.0,631.0,320.0,1113.0
"Erie County, OH",830178.0,,23.0,71.0,116.0
"Erie County, PA",3039942.0,85.0,129.0,241.0,496.0
"Escambia County, AL",412750.0,35.0,52.0,40.0,67.0
"Escambia County, FL",3411840.0,201.0,277.0,341.0,608.0
"Essex County, MA",8490549.0,100.0,166.0,165.0,762.0
"Essex County, NJ",8744014.0,980.0,1197.0,100.0,516.0
"Estill County, KY",158138.0,,10.0,22.0,36.0
"Etowah County, AL",1136103.0,55.0,75.0,130.0,197.0
"Evangeline Parish, LA",370142.0,16.0,30.0,68.0,94.0
"Fairbanks North Star Borough, AK",1088248.0,40.0,73.0,169.0,239.0
"Fairfax County, VA",12447975.0,103.0,189.0,447.0,1101.0
"Fairfield County, CT",10333637.0,227.0,323.0,230.0,862.0
"Fairfield County, OH",1671747.0,22.0,29.0,110.0,194.0
"Fairfield County, SC",251790.0,24.0,30.0,17.0,28.0
"Fannin County, TX",377998.0,16.0,17.0,57.0,93.0
"Faulkner County, AR",1333796.0,46.0,65.0,121.0,199.0
"Fauquier County, VA",753845.0,16.0,22.0,74.0,124.0
"Fayette County, GA",1218495.0,36.0,47.0,81.0,130.0
"Fayette County, KY",3448649.0,170.0,231.0,254.0,441.0
"Fayette County, PA",1463154.0,42.0,60.0,162.0,258.0
"Fayette County, TN",435337.0,18.0,29.0,49.0,60.0
"Fayette County, TX",275408.0,,11.0,25.0,34.0
"Fayette County, WV",488665.0,20.0,33.0,56.0,86.0
"Finney County, KS",405260.0,,15.0,33.0,57.0
"Flagler County, FL",1163606.0,22.0,33.0,119.0,240.0
"Flathead County, MT",1067864.0,16.0,33.0,167.0,255.0
"Florence County, SC",1520500.0,121.0,148.0,114.0,160.0
"Floyd County, GA",1066073.0,45.0,64.0,106.0,173.0
"Floyd County, IN",843351.0,20.0,30.0,78.0,127.0
"Floyd County, KY",411988.0,16.0,25.0,67.0,83.0
"Fond du Lac County, WI",1125148.0,,10.0,94.0,175.0
"Ford County, KS",376271.0,,13.0,26.0,68.0
"Forrest County, MS",833395.0,66.0,91.0,85.0,119.0
"Forsyth County, GA",2338111.0,18.0,28.0,153.0,262.0
"Forsyth County, NC",4052364.0,194.0,244.0,263.0,484.0
"Fort Bend County, TX",7818735.0,250.0,297.0,415.0,697.0
"Franklin County, AL",347533.0,11.0,17.0,37.0,54.0
"Franklin County, GA",247442.0,,19.0,36.0,52.0
"Franklin County, IL",430120.0,,11.0,42.0,84.0
"Franklin County, KY",552354.0,23.0,31.0,42.0,77.0
"Franklin County, MO",1129442.0,23.0,42.0,147.0,254.0
"Franklin County, MS",86265.0,,11.0,14.0,15.0
"Franklin County, NC",712041.0,36.0,43.0,76.0,110.0
"Franklin County, OH",13741307.0,1069.0,1315.0,814.0,1639.0
"Franklin County, PA",1683903.0,27.0,37.0,123.0,223.0
"Franklin County, TN",456656.0,16.0,19.0,59.0,98.0
"Franklin County, VA",618864.0,27.0,35.0,66.0,97.0
"Franklin County, WA",979646.0,28.0,38.0,48.0,88.0
"Franklin Parish, LA",224019.0,19.0,22.0,22.0,28.0
"Franklin city, VA",91647.0,,12.0,,13.0
"Frederick County, MD",2720087.0,31.0,61.0,150.0,304.0
"Frederick County, VA",924875.0,,15.0,91.0,157.0
"Fredericksburg city, VA",306213.0,,12.0,27.0,44.0
"Fremont County, CO",519336.0,15.0,26.0,93.0,166.0
"Fremont County, WY",441982.0,15.0,53.0,90.0,137.0
"Fresno County, CA",10680945.0,595.0,787.0,404.0,1063.0
"Frio County, TX",206765.0,,12.0,12.0,22.0
"Fulton County, GA",11095339.0,1127.0,1373.0,612.0,1219.0
"Gadsden County, FL",506487.0,36.0,51.0,47.0,69.0
"Gaines County, TX",217844.0,,10.0,13.0,24.0
"Gallatin County, MT",1121699.0,12.0,15.0,153.0,225.0
"Gallia County, OH",333439.0,,19.0,48.0,79.0
"Galveston County, TX",3520330.0,151.0,218.0,330.0,530.0
"Garfield County, CO",640672.0,,13.0,79.0,140.0
"Garfield County, OK",678388.0,16.0,27.0,77.0,127.0
"Garland County, AR",1076187.0,77.0,111.0,171.0,310.0
"Garvin County, OK",303935.0,10.0,13.0,39.0,74.0
"Gaston County, NC",2366245.0,87.0,123.0,233.0,389.0
"Geary County, KS",384748.0,19.0,25.0,55.0,86.0
"Geauga County, OH",1031595.0,11.0,15.0,74.0,142.0
"Genesee County, MI",4538897.0,509.0,621.0,347.0,629.0
"Geneva County, AL",292749.0,10.0,15.0,32.0,47.0
"George County, MS",259196.0,14.0,19.0,20.0,32.0
"Georgetown County, SC",674137.0,35.0,50.0,69.0,99.0
"Gibson County, IN",369827.0,,10.0,47.0,78.0
"Gibson County, TN",543421.0,28.0,43.0,66.0,98.0
"Gila County, AZ",588483.0,25.0,48.0,113.0,196.0
"Gilchrist County, FL",192563.0,12.0,16.0,30.0,42.0
"Giles County, TN",321694.0,,11.0,60.0,85.0
"Giles County, VA",185707.0,10.0,12.0,22.0,34.0
"Gillespie County, TX",285863.0,,11.0,44.0,59.0
"Gilmer County, GA",326184.0,,10.0,59.0,78.0
"Glacier County, MT",150244.0,,13.0,15.0,34.0
"Glenn County, CA",309056.0,11.0,16.0,33.0,57.0
"Gloucester County, NJ",3200498.0,43.0,82.0,103.0,338.0
"Gloucester County, VA",408425.0,11.0,15.0,52.0,82.0
"Glynn County, GA",914159.0,46.0,71.0,94.0,148.0
"Gordon County, GA",623372.0,17.0,24.0,58.0,99.0
"Grady County, GA",275047.0,19.0,26.0,29.0,40.0
"Grady County, OK",597645.0,23.0,31.0,73.0,112.0
"Grafton County, NH",984466.0,11.0,19.0,88.0,163.0
"Graham County, AZ",416073.0,,19.0,42.0,72.0
"Grainger County, TN",252787.0,,10.0,29.0,53.0
"Grand Forks County, ND",762744.0,15.0,20.0,60.0,109.0
"Grand Traverse County, MI",999996.0,,20.0,69.0,159.0
"Grant County, AR",199241.0,,13.0,24.0,36.0
"Grant County, IN",745216.0,29.0,40.0,65.0,114.0
"Grant County, NM",312633.0,17.0,24.0,58.0,103.0
"Grant County, WA",1033537.0,35.0,41.0,79.0,132.0
"Grant Parish, LA",245091.0,,15.0,35.0,45.0
"Granville County, NC",655409.0,17.0,28.0,64.0,91.0
"Graves County, KY",410378.0,21.0,28.0,59.0,76.0
"Gray County, TX",248133.0,,10.0,35.0,46.0
"Grays Harbor County, WA",799290.0,17.0,35.0,90.0,167.0
"Grayson County, KY",287849.0,13.0,15.0,56.0,78.0
"Grayson County, TX",1403481.0,40.0,67.0,162.0,265.0
"Greenbrier County, WV",388043.0,11.0,19.0,55.0,88.0
"Greene County, AR",484858.0,20.0,27.0,81.0,119.0
"Greene County, IN",357467.0,,14.0,47.0,60.0
"Greene County, MO",3149322.0,107.0,166.0,319.0,604.0
"Greene County, MS",152543.0,,12.0,10.0,13.0
"Greene County, NC",232998.0,16.0,22.0,,21.0
"Greene County, OH",1818028.0,26.0,39.0,125.0,226.0
"Greene County, PA",410921.0,,11.0,41.0,63.0
"Greene County, TN",757321.0,15.0,29.0,93.0,148.0
"Greenville County, SC",5404854.0,248.0,342.0,504.0,868.0
"Greenwood County, SC",771447.0,50.0,62.0,72.0,112.0
"Gregg County, TX",1356798.0,110.0,139.0,145.0,211.0
"Grenada County, MS",234935.0,42.0,52.0,20.0,33.0
"Grimes County, TX",304424.0,12.0,16.0,37.0,54.0
"Grundy County, TN",148270.0,12.0,16.0,22.0,33.0
"Guadalupe County, TX",1664886.0,38.0,50.0,132.0,219.0
"Guernsey County, OH",433147.0,10.0,16.0,43.0,81.0
"Guilford County, NC",5680541.0,373.0,466.0,341.0,625.0
"Gulf County, FL",170556.0,,11.0,25.0,38.0
"Gwinnett County, GA",9739410.0,312.0,419.0,581.0,1064.0
"Habersham County, GA",486464.0,10.0,17.0,42.0,73.0
"Hale County, AL",166038.0,13.0,16.0,16.0,17.0
"Hale County, TX",382387.0,,10.0,29.0,51.0
"Halifax County, NC",574888.0,71.0,83.0,46.0,71.0
"Halifax County, VA",385091.0,18.0,25.0,43.0,58.0
"Hall County, GA",2129345.0,50.0,79.0,192.0,311.0
"Hall County, NE",669533.0,,11.0,42.0,86.0
"Hamblen County, TN",700539.0,11.0,20.0,89.0,163.0
"Hamilton County, FL",158679.0,14.0,20.0,19.0,25.0
"Hamilton County, IN",3408342.0,30.0,40.0,178.0,356.0
"Hamilton County, OH",8898586.0,756.0,903.0,550.0,1121.0
"Hamilton County, TN",3899957.0,267.0,338.0,327.0,555.0
"Hampden County, MA",5138415.0,180.0,245.0,150.0,536.0
"Hampshire County, MA",1764760.0,,13.0,50.0,170.0
"Hampton County, SC",219649.0,30.0,38.0,16.0,23.0
"Hampton city, VA",1495071.0,148.0,172.0,88.0,162.0
"Hancock County, GA",96264.0,,11.0,,11.0
"Hancock County, IN",810311.0,10.0,14.0,72.0,127.0
"Hancock County, ME",601556.0,,11.0,63.0,106.0
"Hancock County, MS",508578.0,25.0,34.0,61.0,104.0
"Hancock County, OH",830938.0,10.0,19.0,51.0,107.0
"Hancock County, WV",327283.0,,11.0,34.0,59.0
"Hanover County, VA",1140930.0,19.0,29.0,118.0,190.0
"Haralson County, GA",319814.0,16.0,22.0,48.0,73.0
"Hardee County, FL",301397.0,10.0,17.0,23.0,38.0
"Hardeman County, TN",284586.0,26.0,32.0,22.0,38.0
"Hardin County, KY",1190930.0,39.0,62.0,107.0,190.0
"Hardin County, TN",284046.0,13.0,20.0,49.0,72.0
"Hardin County, TX",618549.0,25.0,36.0,76.0,115.0
"Harford County, MD",2758941.0,59.0,101.0,167.0,344.0
"Harlan County, KY",303112.0,,14.0,38.0,50.0
"Harnett County, NC",1406745.0,76.0,105.0,118.0,185.0
"Harris County, TX",49236409.0,3421.0,4375.0,2844.0,5085.0
"Harrison County, IN",437145.0,,13.0,57.0,69.0
"Harrison County, MS",2200934.0,128.0,177.0,249.0,439.0
"Harrison County, TX",733205.0,42.0,59.0,79.0,122.0
"Harrison County, WV",752014.0,23.0,36.0,91.0,148.0
"Harrisonburg city, VA",573825.0,10.0,12.0,23.0,50.0
"Hartford County, CT",9839496.0,279.0,406.0,262.0,1019.0
"Harvey County, KS",381403.0,10.0,14.0,24.0,48.0
"Hawaii County, HI",2147113.0,35.0,69.0,99.0,418.0
"Hawkins County, TN",623210.0,21.0,27.0,73.0,111.0
"Hays County, TX",2159079.0,41.0,73.0,155.0,269.0
"Haywood County, NC",664347.0,16.0,26.0,85.0,132.0
"Haywood County, TN",196996.0,14.0,17.0,16.0,20.0
"Hempstead County, AR",242769.0,14.0,19.0,16.0,23.0
"Henderson County, KY",506112.0,11.0,15.0,59.0,93.0
"Henderson County, NC",1238804.0,20.0,31.0,159.0,248.0
"Henderson County, TN",307389.0,11.0,11.0,27.0,46.0
"Henderson County, TX",883755.0,33.0,42.0,143.0,197.0
"Hendricks County, IN",1746854.0,19.0,30.0,135.0,237.0
"Hendry County, FL",436799.0,35.0,50.0,32.0,50.0
"Hennepin County, MN",13417609.0,388.0,536.0,545.0,1507.0
"Henrico County, VA",3546246.0,160.0,193.0,225.0,427.0
"Henry County, AL",189656.0,10.0,15.0,23.0,32.0
"Henry County, GA",2414572.0,142.0,166.0,201.0,308.0
"Henry County, IL",544975.0,,12.0,27.0,72.0
"Henry County, IN",536368.0,10.0,18.0,66.0,100.0
"Henry County, TN",355103.0,16.0,25.0,72.0,114.0
"Henry County, VA",571931.0,35.0,43.0,91.0,125.0
"Herkimer County, NY",693162.0,,13.0,43.0,90.0
"Hernando County, FL",2000994.0,51.0,83.0,238.0,403.0
"Hertford County, NC",264949.0,27.0,30.0,24.0,30.0
"Hidalgo County, TX",9188854.0,207.0,315.0,239.0,534.0
"Highland County, OH",474913.0,10.0,34.0,44.0,82.0
"Highlands County, FL",1112971.0,46.0,65.0,147.0,255.0
"Hill County, TX",391060.0,15.0,16.0,56.0,83.0
"Hillsborough County, FL",14923290.0,583.0,812.0,1045.0,2008.0
"Hillsborough County, NH",4489651.0,41.0,75.0,366.0,775.0
"Hinds County, MS",2651248.0,645.0,734.0,165.0,252.0
"Hocking County, OH",315486.0,12.0,18.0,39.0,63.0
"Hockley County, TX",254724.0,12.0,17.0,19.0,44.0
"Hoke County, NC",575570.0,52.0,63.0,44.0,68.0
"Holmes County, FL",216028.0,,12.0,31.0,49.0
"Holmes County, MS",199135.0,48.0,57.0,15.0,20.0
"Honolulu County, HI",10766841.0,63.0,233.0,198.0,1255.0
"Hood County, TX",617982.0,13.0,18.0,86.0,122.0
"Hopewell city, VA",247112.0,27.0,41.0,30.0,51.0
"Hopkins County, KY",505646.0,,11.0,79.0,115.0
"Hopkins County, TX",397670.0,13.0,19.0,55.0,70.0
"Horry County, SC",3444884.0,194.0,238.0,379.0,577.0
"Hot Spring County, AR",367699.0,22.0,30.0,50.0,92.0
"Houston County, AL",1144938.0,56.0,73.0,113.0,162.0
"Houston County, GA",1655806.0,58.0,81.0,170.0,239.0
"Houston County, TX",253561.0,11.0,14.0,30.0,46.0
"Howard County, AR",148298.0,,11.0,18.0,23.0
"Howard County, IN",909272.0,30.0,48.0,71.0,138.0
"Howard County, MD",3422367.0,47.0,83.0,88.0,280.0
"Howard County, TX",397957.0,22.0,29.0,49.0,82.0
"Howell County, MO",443145.0,14.0,28.0,78.0,113.0
"Hubbard County, MN",229306.0,,12.0,22.0,38.0
"Hudson County, NJ",7321769.0,174.0,291.0,79.0,484.0
"Hughes County, OK",149654.0,11.0,18.0,23.0,36.0
"Humboldt County, CA",1489548.0,56.0,97.0,160.0,366.0
"Humboldt County, NV",186219.0,,12.0,40.0,58.0
"Humphreys County, MS",95211.0,12.0,15.0,,
"Humphreys County, TN",202285.0,,11.0,32.0,43.0
"Hunt County, TX",1005963.0,33.0,50.0,108.0,162.0
"Hunterdon County, NJ",1384859.0,,10.0,55.0,153.0
"Huron County, OH",646156.0,,13.0,59.0,105.0
"Hutchinson County, TX",237229.0,,14.0,27.0,45.0
"Iberia Parish, LA",797744.0,67.0,88.0,64.0,102.0
"Iberville Parish, LA",362883.0,28.0,32.0,21.0,34.0
"Imperial County, CA",1971421.0,35.0,65.0,59.0,145.0
"Independence County, AR",409473.0,13.0,20.0,52.0,73.0
"Indian River County, FL",1637957.0,51.0,75.0,166.0,290.0
"Indiana County, PA",952368.0,14.0,25.0,76.0,132.0
"Ingham County, MI",3151119.0,99.0,155.0,174.0,390.0
"Ionia County, MI",706398.0,,14.0,58.0,107.0
"Iredell County, NC",1879043.0,41.0,60.0,161.0,270.0
"Iron County, UT",547436.0,,16.0,71.0,117.0
"Island County, WA",896733.0,,14.0,90.0,159.0
"Isle of Wight County, VA",398937.0,11.0,14.0,41.0,61.0
"Itawamba County, MS",257848.0,,10.0,29.0,39.0
"Jackson County, AL",576563.0,17.0,23.0,100.0,127.0
"Jackson County, AR",190472.0,14.0,19.0,19.0,36.0
"Jackson County, FL",531691.0,31.0,44.0,43.0,83.0
"Jackson County, GA",720319.0,14.0,17.0,97.0,140.0
"Jackson County, IL",647505.0,13.0,16.0,47.0,81.0
"Jackson County, IN",480126.0,,13.0,39.0,77.0
"Jackson County, KY",147246.0,12.0,15.0,21.0,25.0
"Jackson County, MI",1751262.0,55.0,86.0,149.0,276.0
"Jackson County, MO",7578644.0,1252.0,1443.0,704.0,1374.0
"Jackson County, MS",1556968.0,64.0,88.0,163.0,252.0
"Jackson County, NC",460681.0,13.0,16.0,46.0,77.0
"Jackson County, OH",359736.0,11.0,15.0,55.0,76.0
"Jackson County, OK",281196.0,,13.0,25.0,46.0
"Jackson County, OR",2342197.0,47.0,75.0,329.0,587.0
"Jackson County, WV",319090.0,10.0,13.0,30.0,43.0
"Jackson Parish, LA",175651.0,10.0,10.0,17.0,22.0
"James City County, VA",800882.0,14.0,19.0,53.0,103.0
"Jasper County, IN",367936.0,,12.0,34.0,52.0
"Jasper County, MO",1306574.0,33.0,54.0,151.0,269.0
"Jasper County, MS",182305.0,10.0,15.0,20.0,22.0
"Jasper County, SC",304983.0,56.0,65.0,26.0,44.0
"Jasper County, TX",392621.0,11.0,19.0,49.0,66.0
"Jeff Davis County, GA",165428.0,,10.0,15.0,20.0
"Jefferson County, AL",7249978.0,1192.0,1390.0,635.0,961.0
"Jefferson County, AR",784903.0,190.0,216.0,72.0,110.0
"Jefferson County, CO",6188457.0,91.0,152.0,579.0,1207.0
"Jefferson County, GA",176358.0,,13.0,18.0,22.0
"Jefferson County, IL",421169.0,11.0,18.0,31.0,68.0
"Jefferson County, KY",8360547.0,822.0,989.0,731.0,1347.0
"Jefferson County, MO",2450665.0,51.0,78.0,337.0,537.0
"Jefferson County, MS",81356.0,11.0,13.0,,
"Jefferson County, NY",1268520.0,,24.0,79.0,178.0
"Jefferson County, OH",739025.0,35.0,43.0,97.0,132.0
"Jefferson County, OR",251787.0,14.0,22.0,24.0,53.0
"Jefferson County, TN",584457.0,11.0,20.0,58.0,95.0
"Jefferson County, TX",2783460.0,219.0,295.0,210.0,373.0
"Jefferson County, WV",613644.0,12.0,17.0,52.0,82.0
"Jefferson Davis County, MS",128023.0,29.0,31.0,15.0,19.0
"Jefferson Davis Parish, LA",345985.0,29.0,41.0,28.0,40.0
"Jefferson Parish, LA",4780075.0,584.0,679.0,382.0,653.0
"Jessamine County, KY",568040.0,17.0,21.0,53.0,75.0
"Jim Wells County, TX",452122.0,26.0,40.0,36.0,73.0
"Johnson County, AR",287736.0,,14.0,27.0,50.0
"Johnson County, IA",1577827.0,11.0,17.0,62.0,174.0
"Johnson County, IN",1648085.0,24.0,37.0,128.0,213.0
"Johnson County, KS",6361252.0,93.0,129.0,446.0,947.0
"Johnson County, KY",252169.0,11.0,15.0,34.0,39.0
"Johnson County, MO",593088.0,14.0,16.0,65.0,99.0
"Johnson County, TX",1786590.0,34.0,55.0,180.0,268.0
"Johnston County, NC",2077879.0,62.0,86.0,155.0,262.0
"Johnston County, OK",121177.0,,13.0,27.0,35.0
"Jones County, GA",314843.0,,11.0,41.0,54.0
"Jones County, MS",750378.0,38.0,51.0,80.0,112.0
"Jones County, TX",219853.0,,10.0,32.0,56.0
"Josephine County, OR",935469.0,37.0,51.0,173.0,262.0
"Juneau Borough, AK",354315.0,,14.0,38.0,67.0
"Kalamazoo County, MI",2853354.0,83.0,127.0,170.0,375.0
"Kanawha County, WV",2051752.0,119.0,171.0,267.0,446.0
"Kane County, IL",5803834.0,101.0,146.0,169.0,501.0
"Kankakee County, IL",1222654.0,59.0,85.0,49.0,129.0
"Kauai County, HI",775413.0,,16.0,38.0,149.0
"Kaufman County, TX",1299162.0,58.0,66.0,124.0,189.0
"Kay County, OK",495489.0,16.0,28.0,67.0,117.0
"Kenai Peninsula Borough, AK",635054.0,18.0,24.0,122.0,176.0
"Kendall County, IL",1351981.0,24.0,32.0,39.0,124.0
"Kendall County, TX",449338.0,,12.0,47.0,68.0
"Kennebec County, ME",1337925.0,13.0,25.0,128.0,234.0
"Kenosha County, WI",1851143.0,36.0,60.0,115.0,269.0
"Kent County, DE",1904336.0,65.0,97.0,117.0,247.0
"Kent County, MI",6973059.0,174.0,253.0,294.0,742.0
"Kent County, RI",1812673.0,11.0,16.0,61.0,227.0
"Kenton County, KY",1805265.0,43.0,61.0,138.0,255.0
"Kern County, CA",9644623.0,674.0,948.0,537.0,1230.0
"Kerr County, TX",561762.0,,25.0,94.0,138.0
"Kershaw County, SC",704341.0,24.0,33.0,82.0,125.0
"King County, WA",23248831.0,465.0,678.0,1190.0,2939.0
"Kings County, CA",1667189.0,55.0,101.0,60.0,178.0
"Kings County, NY",28413245.0,1080.0,1623.0,194.0,1469.0
"Kitsap County, WA",2874329.0,27.0,61.0,249.0,480.0
"Kittitas County, WA",487346.0,,10.0,47.0,83.0
"Klamath County, OR",733980.0,32.0,44.0,137.0,210.0
"Kleberg County, TX",347355.0,,17.0,14.0,25.0
"Knott County, KY",171599.0,12.0,14.0,31.0,36.0
"Knox County, IL",564111.0,,13.0,36.0,91.0
"Knox County, IN",414144.0,11.0,14.0,39.0,70.0
"Knox County, KY",347209.0,15.0,23.0,33.0,47.0
"Knox County, OH",674652.0,12.0,21.0,48.0,79.0
"Knox County, TN",4984259.0,209.0,277.0,480.0,831.0
"Kootenai County, ID",1673698.0,21.0,37.0,215.0,362.0
"Kosciusko County, IN",863536.0,,15.0,70.0,107.0
"La Crosse County, WI",1290751.0,12.0,23.0,91.0,218.0
"La Paz County, AZ",226500.0,10.0,26.0,57.0,69.0
"La Plata County, CO",597920.0,14.0,23.0,79.0,129.0
"La Porte County, IN",1217298.0,37.0,58.0,121.0,207.0
"La Salle County, IL",1221551.0,,19.0,68.0,202.0
"Labette County, KS",226838.0,,11.0,28.0,43.0
"Lackawanna County, PA",2333185.0,19.0,45.0,204.0,389.0
"Laclede County, MO",391467.0,11.0,20.0,57.0,88.0
"Lafayette County, MO",361573.0,,11.0,35.0,60.0
"Lafayette County, MS",574110.0,19.0,26.0,41.0,58.0
"Lafayette Parish, LA",2597183.0,157.0,192.0,253.0,361.0
"Lafourche Parish, LA",1073555.0,53.0,68.0,118.0,185.0
"Lake County, CA",707215.0,43.0,67.0,96.0,199.0
"Lake County, FL",3631374.0,110.0,147.0,402.0,662.0
"Lake County, IL",7721446.0,124.0,218.0,259.0,756.0
"Lake County, IN",5383656.0,683.0,837.0,372.0,686.0
"Lake County, MT",325977.0,,20.0,68.0,105.0
"Lake County, OH",2526803.0,23.0,52.0,194.0,391.0
"Lamar County, MS",662627.0,29.0,41.0,60.0,86.0
"Lamar County, TX",546937.0,25.0,33.0,64.0,100.0
"Lamb County, TX",148132.0,,10.0,12.0,21.0
"Lancaster County, NE",3354920.0,45.0,67.0,192.0,424.0
"Lancaster County, PA",5886282.0,73.0,121.0,341.0,648.0
"Lancaster County, SC",959571.0,79.0,103.0,92.0,136.0
"Lane County, OR",4026048.0,54.0,114.0,486.0,891.0
"Laramie County, WY",1063754.0,27.0,37.0,164.0,281.0
"Larimer County, CO",3641143.0,32.0,54.0,396.0,771.0
"Las Animas County, CO",159815.0,,14.0,35.0,52.0
"Lassen County, CA",351434.0,,24.0,41.0,84.0
"Lauderdale County, AL",1019861.0,39.0,55.0,96.0,146.0
"Lauderdale County, MS",856576.0,111.0,141.0,60.0,89.0
"Lauderdale County, TN",294350.0,25.0,31.0,28.0,45.0
